"taxonID","bibliographicCitation"
"ad-hoc-checklist:taxon:40d7e559307e8c0d07adb7b9c74f6190","Dekoninck, W, Maelfait, J-P, Vankerkhoven, F, Baugnée, J-Y, and Grootaert, P, 2006. An update of the clecklist of the Belgian ant fauna with comments on new species for the country (Hymenoptera, Formicidae). Belgian Journal of Entomology 8, 27-41."
"ad-hoc-checklist:taxon:41326333ef8c22313ee5951840058ddc","Van Keer, K. & Van Keer, J. 2001. Ingeburgerde exotische trilspinnen (Araneae: Pholcidae) in Antwerpse haven en enkele algemene bedenkingen bij spinnenmigratie. Nieuwsbrief van de Belgische Arachnologische Vereniging, 16(3):81-86."
"ad-hoc-checklist:taxon:419fa0b2d12adefbb640010c25c7ce7a","DRUMONT, A., SMETS, K., SCHEERS, K., THOMAES, A., VANDENHOUDT, R. & LODEWIJCKX, M. (2014). Callidiellum rufipenne (Motschulsky, 1861) en Belgique: bilan de sa présence et de son installation sur notre territoire (Coleoptera, Cerambycidae, Cerambycinae). Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 150 (3): 239-249."
"ad-hoc-checklist:taxon:424025cedc8deb67c5583fce49d5c6a0","unpubl. observation"
"ad-hoc-checklist:taxon:4274881799ce895ef56d3e0f8ae95bbc","pers. comm. Floris Verhaeghe"
"ad-hoc-checklist:taxon:447fdfc3a426263fd3a5cae03cb34204","De Smedt P, Arijs G, Segers S, Boeraeve P (2017) Woodlice of the green houses at Ghent Botanical Garden and Botanic Garden Meise with two new exotic species for Belgium (Isopoda: Oniscidae). Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153: 109-112."
"ad-hoc-checklist:taxon:45806c83ceccb4827f9b2041722ed2eb","ARABEL exotendatabank (10/08/2018)"
"ad-hoc-checklist:taxon:49172b005a81e740fe6f1166fc1e6569","Verbeylen, G. (2003) in Verkem, S., De Maeseneer, J., Vandendriessche, B., Verbeylen, G. & Yskout, S. Zoogdieren in Vlaanderen. Ecologie en verspreiding van 1987 tot 2002. Natuurpunt Studie en JNM-Zoogdierenwerkgroep, Mechelen en Gent, België."
"ad-hoc-checklist:taxon:50367f653e8ac3a09904d19cbc01f9df","Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique."
"ad-hoc-checklist:taxon:50caec46f199dfca763b22e0d0b613de","Ravoet J, Barbier Y, Klein W (2017) First observation of another invasive mud dauber wasp in Belgium: Sceliphron caementarium (Drury, 1773)(Hymenoptera: Sphecidae). Bulletin de la Société royale belge d’Entomologie, 153: 40-42."
