"language","license","rightsHolder","accessRights","datasetID","institutionCode","datasetName","taxonID","scientificName","kingdom","phylum","order","family","genus","taxonRank","nomenclaturalCode"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:c2752e3916719b68c39881698c8dd712","Aedes albopictus Skuse","Animalia","Arthropoda","Diptera","Culicidae","Aedes","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:508326799a9dbe6daceb5003f1ccc8b3","Cacyreus marshalli Butler, 1898","Animalia","Arthropoda","Lepidoptera","Lycaenidae","Cacyreus","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:5083ba47ebf4a2aeb5fbebd0f816b379","Paysandisia archon (Burmeister, 1880)","Animalia","Arthropoda","Lepidoptera","Castniidae","Paysandisia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:1ac9568bc799861c6e8be58c55f3db9c","Callopistria floridensis Guenée, 1852","Animalia","Arthropoda","Lepidoptera","Noctuidae","Callopistria","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:a3d968104cbecfd22770eef8399063a1","Thaumatotibia leucotreta (Meyrick, 1913)","Animalia","Arthropoda","Lepidoptera","Tortricidae","Thaumatotibia","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:824311a99094a22ffbfd288d1b664042","Tropidosteptes pacificus (Van Duzee, 1921)","Animalia","Arthropoda","Hemiptera","Miridae","Tropidosteptes","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:93e8daa0c142afee8b7c23beaf6fd881","Nysius huttoni FB White, 1878","Animalia","Arthropoda","Hemiptera","Lygaeidae","Nysius","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:f9c3ffbeb12488f4e53fd03493d4a64e","Aproceros leucopoda Takeuchi, 1939","Animalia","Arthropoda","Hymenoptera","Argidae","Aproceros","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:2fb8ca3deefe5776669a297af9b9a2bb","Acheta domesticus (Linnaeus, 1758)","Animalia","Arthropoda","Orthoptera","Gryllidae","Acheta","species","ICZN"
"en","http://creativecommons.org/publicdomain/zero/1.0/","INBO","https://www.inbo.be/en/norms-data-use","","INBO","Ad hoc checklist of alien species in Belgium","ad-hoc-checklist:taxon:7aa6ab0e614871879791b7e776b48f82","Anacridium aegyptium (Linnaeus, 1764)","Animalia","Arthropoda","Orthoptera","Acrididae","Anacridium","species","ICZN"
