"taxonID","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate","source"
"ad-hoc-checklist:taxon:d850eeb2d70f3fc8e4944e905d41026d","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2004/2011",
"ad-hoc-checklist:taxon:d87689e16d492585c2a7365eb32b3d6c","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2002/2017",
"ad-hoc-checklist:taxon:d8de2f852b7b06995f32cd75b2c47430","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2006/2006",
"ad-hoc-checklist:taxon:da765e0230e3c40c6656053214d14819","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","1980/2018",
"ad-hoc-checklist:taxon:db99e8119422ddc742ef2de79177d4d0","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:dbc0eccc1d01c3c60338c0219aeeafce","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1999/2018",
"ad-hoc-checklist:taxon:dce10e8bc6fb8c588cf80a3edb89225d","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2008/2008",
"ad-hoc-checklist:taxon:dce10e8bc6fb8c588cf80a3edb89225d","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","2014/2014",
"ad-hoc-checklist:taxon:dd5343601430de4c32e8b6f1f9eb4344","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2016/2018",
"ad-hoc-checklist:taxon:ddaea340c2183ad98505710870b944d0","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2007/2018","http://www.zoogdierwinkel.nl/sites/default/files/imce/nieuwesite/Winkel/pdf%20download/Zoogdier_Jaargang_19_2_2008_JUN_0.pdf"
"ad-hoc-checklist:taxon:dddeed7502b2940f086dc794028721a9","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1945/2018",
"ad-hoc-checklist:taxon:ddf4bcb8ca7153492a374de1d2c9610f","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2014/2018",
"ad-hoc-checklist:taxon:dea0657a2a7eda7140f1921090f7ab78","ISO_3166-2:BE-BRU","Brussels-Capital Region","BE","present","introduced","2013/2013","https://waarnemingen.be/waarneming/view/80562225"
"ad-hoc-checklist:taxon:df93951c9b034c246ad8187450e42062","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:e0169cc85d5aea0fe1161b46c70d0fed","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1998/1998",
"ad-hoc-checklist:taxon:e0863c8643bac4d4cb2f0ca4f3c213a1","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:e17571eb10bca912ee4fb362f9c35e41","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1999/1999",
"ad-hoc-checklist:taxon:e1ca333250a7bbcf63f6bb9f19a443f3","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2009/2018",
"ad-hoc-checklist:taxon:e26e98e49d8103792220399cb268b1c5","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:e4448c620b9c329c07428d722f3c1abb","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2001/2001",
"ad-hoc-checklist:taxon:e4767777c4d1e94538c62b90e4668ef8","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2008/2008",
"ad-hoc-checklist:taxon:e48826a9e7c28d4e5f97b4b52ca9fcd7","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","2018/2018",
"ad-hoc-checklist:taxon:e4c85b7c26b7df03f3ddd626f84ba9bd","ISO_3166-2:BE-VLG","Flemish Region","BE","present","introduced","1967/2017",
"ad-hoc-checklist:taxon:e4c85b7c26b7df03f3ddd626f84ba9bd","ISO_3166-2:BE-WAL","Walloon Region","BE","present","introduced","1996/1996",
"ad-hoc-checklist:taxon:e50649bdec5fb43cbe599641cd834d15","ISO_3166-2:BE","Belgium","BE","present","introduced","2018/2018",
