scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
"Acheta domesticus (Linnaeus, 1758)",Animalia,Arthropoda,,Orthoptera,Gryllidae,Acheta,species,ICZN,Wallonia,BE,present,,,established,stowaway_other,,,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Anacridium aegyptium (Linnaeus, 1764)",Animalia,Arthropoda,,Orthoptera,Acrididae,Anacridium,species,ICZN,Flanders,BE,present,2010,2014,casual,stowaway_other,often reared as food for terraria,,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Anacridium aegyptium (Linnaeus, 1764)",Animalia,Arthropoda,,Orthoptera,Acrididae,Anacridium,species,ICZN,Wallonia,BE,present,,,casual,stowaway_other,often reared as food for terraria,,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Meconema meridionale Costa & A., 1860",Animalia,Arthropoda,,Orthoptera,Tettigoniidae,Meconema,species,ICZN,Wallonia,BE,present,1995,2018,established,stowaway_vehicles,,Southern Europe,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Meconema meridionale Costa & A., 1860",Animalia,Arthropoda,,Orthoptera,Tettigoniidae,Meconema,species,ICZN,Flanders,BE,present,,2018,established,stowaway_vehicles,,Southern Europe,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Gryllodes sigillatus (Walker & F., 1869)",Animalia,Arthropoda,,Orthoptera,Gryllidae,Gryllodes,species,ICZN,Flanders,BE,present,,,casual,,often reared as reptile food for terraria,Southeast Asia,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Yersinella raymondii (Yersin, 1860)",Animalia,Arthropoda,,Orthoptera,Tettigoniidae,Yersinella,species,ICZN,Flanders,BE,present,2012,2012,casual,unknown,,,terrestrial,pers. comm. Floris Verhaeghe,,,,2018-05-02,Tim Adriaens,
"Gryllomorpha dalmatina (Ocskay, 1832)",Animalia,Arthropoda,,Orthoptera,Gryllidae,Gryllomorpha,species,ICZN,Brussels,BE,present,,,casual,,,,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Gryllomorpha dalmatina (Ocskay, 1832)",Animalia,Arthropoda,,Orthoptera,Gryllidae,Gryllomorpha,species,ICZN,Wallonia,BE,present,,,casual,,,,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Gryllus bimaculatus De Geer, 1773",Animalia,Arthropoda,,Orthoptera,Gryllidae,Gryllus,species,ICZN,Flanders,BE,present,,,casual,,,,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Tachycines asynamorus Adelung, 1902",Animalia,Arthropoda,,Orthoptera,Rhaphidophoridae,Tachycines,species,ICZN,Flanders,BE,present,,,transported,contaminant_on_plants,,Asia,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Eumodicogryllus bordigalensis (Latreille, 1804)",Animalia,Arthropoda,,Orthoptera,Eumodicogryllus,Eumodicogryllus,species,ICZN,Flanders,BE,present,2018,2018,reproducing,contaminant_habitat_material | stowaway_vehicles,,Southern Europe,terrestrial,https://www.natuurpunt.be/nieuws/spoorkrekel-duikt-voor-het-eerst-op-belgië-20180830,,,,,,
"Vespa velutina Lepeletier, 1836",Animalia,Arthropoda,,Hymenoptera,Vespidae,Vespa,species,ICZN,Flanders,BE,present,2016,2018,reproducing,unaided,,Asia,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Vespa velutina Lepeletier, 1836",Animalia,Arthropoda,,Hymenoptera,Vespidae,Vespa,species,ICZN,Wallonia,BE,present,2011,2018,reproducing,unaided,,Asia,terrestrial,,,,,2018-05-02,Tim Adriaens,
"Anoplophora chinensis (Forster, 1771)",Animalia,Arthropoda,,Coleoptera,Cerambycidae,Anoplophora,species,ICZN,Flanders,BE,present,2005,2006,transported,contaminant_on_plants,introduced with bonsai tree from China,Asia,terrestrial,"Thomaes A. 2006 Anoplophora chinensis Förster voor het eerst gevonden in België (Coleoptera, Cerambycidae). Entomo-info",,,,2018-05-02,Tim Adriaens,
"Anoplophora glabripennis (Motschulsky, 1854)",Animalia,Arthropoda,,Coleoptera,Cerambycidae,Anoplophora,species,ICZN,Flanders,BE,present,2008,2008,transported,stowaway_organic_packing,introduced in load of tiles for terrace,Asia,terrestrial,unpubl. data,,,,2018-05-02,Tim Adriaens,
"Callidiellum rufipenne Niisato, 2007",Animalia,Arthropoda,,Coleoptera,Cerambycidae,Callidiellum,species,ICZN,Flanders,BE,present,2006,2018,established,contaminant_on_plants,first population found in 2009,China | Japan,terrestrial,"Drumont, A., Smets, K., Scheers, K., Thomaes, A., Vandenhoudt, R. & Lodewijckx, M. (2014). Callidiellum rufipenne (Motschulsky, 1861) en Belgique: bilan de sa présence et de son installation sur notre territoire (Coleoptera, Cerambycidae, Cerambycinae). Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 150 (3): 239-249.",,,dead Cypressus,2018-05-02,Tim Adriaens,
Fulvius subnittens,Animalia,Arthropoda,,,,,species,ICZN,Flanders,BE,present,2008,,,,,,terrestrial,"Chérot, F., Aukema,B., Bruers,J.& Viskens,G. (2011) Exotic species of Aradidae nad Miridae recently found in Antwerp harbour, bull KBVE 147: 15-19",,,,2018-05-02,Tim Adriaens,
Neuroctenus lestoni,Animalia,Arthropoda,,,,,species,ICZN,Flanders,BE,present,2009,,,,,,terrestrial,"Chérot, F., Aukema,B., Bruers,J.& Viskens,G. (2011) Exotic species of Aradidae nad Miridae recently found in Antwerp harbour, bull KBVE 147: 15-19",,,,2018-05-02,Tim Adriaens,
Fulvius anthocoroides,Animalia,Arthropoda,,,,,species,ICZN,Flanders,BE,present,2008,,,,,,terrestrial,"Chérot, F., Aukema,B., Bruers,J.& Viskens,G. (2011) Exotic species of Aradidae nad Miridae recently found in Antwerp harbour, bull KBVE 147: 15-19",,,,2018-05-02,Tim Adriaens,
"Cameraria ohridella Deschka & Dimic, 1986",Animalia,Arthropoda,,Lepidoptera,Gracillariidae,Cameraria,species,ICZN,Flanders,BE,present,1999,2018,established,contaminant_on_plants,,Southeastern Europe,terrestrial,,,,Aesculus,2018-05-02,Tim Adriaens,
"Cameraria gaultheriella (Walsingham, 1889)",Animalia,Arthropoda,,Lepidoptera,Gracillariidae,Cameraria,species,ICZN,Flanders,BE,present,2018,2018,casual,contaminant_on_plants,introduced with flower pieces,North America,terrestrial,,,,Gaultheria shallon,2018-05-02,Tim Adriaens,
"Nicoletia phytophila Gervais, 1844",Animalia,Arthropoda,,Zygentoma,,,species,ICZN,Flanders,BE,present,2016,,,,greenhouse species,,terrestrial,"Lock, K. (2017) Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 153 (2017): 21–22",,,,2018-05-04,Tim Adriaens,
Thermobia domestica,Animalia,Arthropoda,,Zygentoma,Lepismatidae,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Ctenolepisma lineata,Animalia,Arthropoda,,Zygentoma,Lepismatidae,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
"Euborellia annulipes (Dohrn, 1864)",Animalia,Arthropoda,,Dermaptera,,,species,ICZN,Flanders,BE,present,2016,,,,greenhouse species,,terrestrial,"Lock, K. (2016) Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie, 152 (2016): 22-24",,,,2018-05-04,Tim Adriaens,
Scutigera coleoptrata (Linnaeus 1758),Animalia,Arthropoda,,Scutigeromorpha,Scutigeridae,Scutigera,species,ICZN,Wallonia,BE,present,1830,,,,,,terrestrial,"Lock, K. (2009) Updated checklist of the Belgian centipedes (Chilopoda). Entomologie faunistique – Faunistic Entomology 2010 (2009) 62 (1), 35-39",,,,2018-05-04,Tim Adriaens,
"Hanseniella caldaria (Hansen, 1903)",Animalia,Arthropoda,,,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2009) Symphyla of Belgium. Entomologie faunistique – Faunistic Entomology 2010 (2009) 62 (1), 25-27",,,,2018-05-04,Tim Adriaens,
Aleurodothrips fasciapennis (Franklin 1908),Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Aurantothrips orchidaceus (Bagnall 1909),Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Chaetanaphothrips orchidii (Moulton 1907),Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Echinothrips americanus Morgan 1913,Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Frankliniella occidentalis (Pergande 1895),Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Heliothrips haemorrhoidalis (Bouché 1833),Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Hercinothrips bicinctus (Bagnall 1919),Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Hercinothrips femoralis (O.M. Reuter 1891),Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Leucothrips nigripennis O.M. Reuter 1904,Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Parthenothrips dracaenae (Heeger 1854),Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Scirtothrips longipennis (Bagnall 1909),Animalia,Arthropoda,,Thysanoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,"Lock, K. (2006) Belgian Thysanoptera in the collections of the royal belgian institute of natural sciences. Bulletin de la Société royale belge d’Entomologie/Bulletin van de Koninklijke Belgische Vereniging voor Entomologie 142: 34-37",,,,2018-05-04,Tim Adriaens,
Ectopsocus briggsi,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,"ooit ingevoerd, maar intussen ingeburgerd",,terrestrial,,,,,2018-05-04,Tim Adriaens,
Ectopsocus petersi,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,"ooit ingevoerd, maar intussen ingeburgerd",,terrestrial,,,,,2018-05-04,Tim Adriaens,
Badonnelia titei,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Cerobasis annulata,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Dorypteryx domestica,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Dorypteryx longipennis,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Dorypteryx pallida,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Lepinotus patruelis,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Lepinotus reticulatus,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Liposcelis bostrychophila,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Liposcelis brunnea,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Liposcelis paeta,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Psoquilla marginepunctata,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Psyllipsocus ramburii,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Trichopsocus clarus,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
Trogium pulsatorium,Animalia,Arthropoda,,Psocoptera,,,species,ICZN,,BE,present,,,,,,,terrestrial,,,,,2018-05-04,Tim Adriaens,
"Tapinoma magnum, Tapinoma nigerrimum complex",Animalia,Arthropoda,,Hymenoptera,Formicidae,Tapinoma,species,ICZN,Flanders,BE,present,2014,,established,,in vrije natuur,Europe,terrestrial,"Dekoninck W, Parmentier T & Seifert B, 2016. First records of a supercolonial species of theTapinoma nigerrimumcomplex in Belgium (Hymenoptera : Formicidae).Bulletin S.R.B.E./K.B.V.E, 151: 206-209.",,,,2018-04-17,Tim Adriaens,Wouter Dekoninck
"Enderleinellus kumadai Kaneko, 1954",Animalia,Arthropoda,,Phthiraptera,Enderleinellidae,Enderleinellus,species,ICZN,Flanders,BE,present,2004,2011,established,contaminant_animal_parasite,established with host now probably eradicated,Southern Asia,terrestrial,"Dozieres, A., Pisanu, B., Gerriet, O., Lapeyre, C., Stuyck, J. & Cha- ` puis, J.-L. (2010) Macroparasites of Pallas’s squirrels, Callosciurus erythraeus, introduced into Europe. Veterinary Parasitology, 172, 172–176.",,,"Callosciurus erythraeus (Pallas, 1779)",2018-05-14,Tim Adriaens,
"Hoplopleura erismata Ferris, 1921",Animalia,Arthropoda,,Phthiraptera,Hoplopleuridae,Hoplopleura,species,ICZN,Flanders,BE,present,2004,2011,established,contaminant_animal_parasite,established with host now probably eradicated,Southern Asia,terrestrial,"Dozieres, A., Pisanu, B., Gerriet, O., Lapeyre, C., Stuyck, J. & Cha- ` puis, J.-L. (2010) Macroparasites of Pallas’s squirrels, Callosciurus erythraeus, introduced into Europe. Veterinary Parasitology, 172, 172–176.",,,"Callosciurus erythraeus (Pallas, 1779)",2018-05-14,Tim Adriaens,
"Cydalima perspectalis (Walker, 1859)",Animalia,Arthropoda,,Lepidoptera,,Cydalima,species,ICZN,Flanders,BE,present,,,,,,,terrestrial,,,,,,,
"Cydalima perspectalis (Walker, 1859)",Animalia,Arthropoda,,Lepidoptera,,Cydalima,species,ICZN,Wallonia,BE,present,,,,,,,terrestrial,,,,,,,
Entyloma calendulae (Oudem.) de Bary,Fungi,Basidiomycota,,Entylomatales,Entylomataceae,Entyloma,species,ICN,,BE,present,1900-09-22,1902-08-03,,,,,terrestrial,"Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique.",,,Calendula officinalis L.,2018-06-04,Quentin Groom,
Entyloma dahliae Syd. & P. Syd.,Fungi,Basidiomycota,,Entylomatales,Entylomataceae,Entyloma,species,ICN,,BE,doubtful,1905-04-16,1905-04-22,,,,,terrestrial,"Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique.",,,Dahlia variabilis Desf.,2018-06-04,Quentin Groom,
Entyloma eschscholtziae Harkn.,Fungi,Basidiomycota,,Entylomatales,Entylomataceae,Entyloma,species,ICN,,BE,present,2014-09-18,,,,,,terrestrial,"Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique.",,,Eschscholtzia californica Cham.,2018-06-04,Quentin Groom,
Sporisorium destruens (Schltdl.) Vánky,Fungi,Basidiomycota,,Ustilaginales,Ustilaginaceae,Sporisorium,species,ICN,,BE,present,1899-08,,,,,,terrestrial,"Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique.",,,Panicum miliaceum L.,2018-06-04,Quentin Groom,
"Thecaphora oxalidis (Ellis & Tracy) M. Lutz, R. Bauer & Piątek",Fungi,Basidiomycota,,Ustilaginales,Glomosporiaceae,Thecaphora,species,ICN,,BE,present,2014-07-23,,,,,,terrestrial,"Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique.",,,Oxalis stricta L.,2018-06-04,Quentin Groom,
Urocystis trollii Nannf.,Fungi,Basidiomycota,,Urocystidales,Urocystidaceae,Urocystis,species,ICN,,BE,present,1894-06,,,,,,terrestrial,"Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique.",,,Trollius europaeus L.,2018-06-04,Quentin Groom,
Ustilago maydis (DC.) Corda,Fungi,Basidiomycota,,Ustilaginales,Ustilaginaceae,Ustilago,species,ICN,,BE,present,1968-11-21,2010-08-06,colonizing,,,,terrestrial,"Vanderweyen A & Fraiture A (2014) Catalogue des Ustilaginales sl de Belgique. Lejeunia, Revue de Botanique.",,,Zea mays L.,2018-06-04,Quentin Groom,
Lentinula edodes (Berk.) Pegler,Fungi,Basidiomycota,,Agaricales,Omphalotaceae,Lentinula,species,ICN,Flanders,BE,present,,,,,Shiitake,East Asia,terrestrial,Steeman & Veraghtert 2011 Natuur.Focus,,,,2018-05-02,Tim Adriaens,Quentin Groom
Stropharia aurantiaca (Cooke) M. Imai,Fungi,Basidiomycota,,Agaricales,Hymenogastraceae,Stropharia,species,ICN,Flanders,BE,present,,,,,poisonous,,terrestrial,Steeman & Veraghtert 2011 Natuur.Focus,,,,2018-05-02,Tim Adriaens,Quentin Groom
"Campylopus introflexus Bridel, 1819",Plantae,Bryophyta,,,,,species,ICN,Flanders,BE,present,1966,2018,established,,,,terrestrial,"Jacques & Lambinon 1968, Stieperaere & Jacques 1995",,,,2018-05-02,Tim Adriaens,
Lophocolea semiteres (Lehm.) Mitt.,Plantae,Bryophyta,,,,,species,ICN,Flanders,BE,present,1956,2018,established,,,,terrestrial,Stieperaere & Jacques 1995,,,,2018-05-02,Tim Adriaens,
"Orthodontium lineare Schwaegrichen, 1827",Plantae,Bryophyta,,,,,species,ICN,Flanders,BE,present,1945,2018,established,,,,terrestrial,Stieperaere & Jacques 1995,,,,2018-05-02,Tim Adriaens,
"Tricellaria inopinata d'Hondt & Occhipinti Ambrogi, 1985",Animalia,Bryozoa,,Cheilostomatida,Candidae,Tricellaria,species,ICZN,Flanders,BE,present,2011,,,,,North Pacific Ocean,estuarine,"De Blauwe, H., Faasse, M. (2001). Extension of the range of the Bryozoans Tricellaria inopinata and Bugula simplex in the north-east Atlantic ocean (Bryozoa: Cheilostomatida) Ned. Faunist. Meded. 14: 103-112",,,,2018-04-20,Tim Adriaens,Quentin Groom
Chara braunii S.G.Gmel.,Plantae,Charophyta,,Charales,Charophyceae,Chara,species,ICN,Flanders,BE,present,1864,2018,established,contaminant_on_animals,introduced originally with carp,Southern Europe,freshwater,"Compère, P., 1992. Charophytes. Flora pratique des algues d’eau douce de Belgique, 4. Jardin botanique nationale de Belgique, B-1860 Meise.",rare,,,2018-04-30,Tim Adriaens,
"Pleurodeles waltl Michahelles, 1830",Animalia,Chordata,Amphibia,Caudata,Salamandridae,Pleurodeles,species,ICZN,Flanders,BE,present,2011,2012,established,release_landscape_improvement,eradicated,Iberia,freshwater,https://www.natuurpunt.be/nieuws/spaanse-ribbensalamanders-weggevangen-neeroeteren-20120710,,,,2018-04-18,Tim Adriaens,
"Rhinella marina (Linnaeus, 1758)",Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,species,ICZN,Flanders,BE,present,2010,,casual,,,Central America,freshwater,Thonissen_Jagen,,,,2018-04-18,Tim Adriaens,
"Pelophylax ridibundus (Pallas, 1771)",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,species,ICZN,Flanders,BE,present,1975,2018,established,stowaway_other,"De eerste waarneming in Vlaanderen dateert pas van 5 december 1975, toen de Bulgaarse triucker Vacil Boev Mancev een lading levende meerkikkers voor consumptie afleverde in Bourg-en-Bresse (Frankrijk). Vacil reed door naar Wetteren, om planten in te laden voor transport naar Bulgarije. Bij het inladen van de planten bleken nog wat kikkers tussen de paletten rond te springen. Alle exemplaren werden uit de laadruimte verwijderd, recht de Wetterse wateren in. Wat volgt, is een goed gedocumenteerd succesverhaal van een invasieve exoot.",Europe,freshwater,"Burny & Parent 1985 | Jooris 2002 | Anonymus 2008 | Holsbeek et al. 2008, 2009, 2010",,,,2018-04-18,Tim Adriaens,
"Podarcis siculus (Rafinesque-schmaltz, 1810)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,species,ICZN,Flanders,BE,present,2004,2017,casual,,,Southern Europe,terrestrial,http://www.hylawerkgroep.be/files/0048/hyla_flits_017_censuur.pdf,,,,2018-04-18,Tim Adriaens,
"Lacerta viridis (Laurenti, 1768) s.l.",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Lacerta,species,ICZN,Flanders,BE,present,2006,2017,casual,,,Southern Europe,terrestrial,http://www.hylawerkgroep.be/files/0048/hyla_flits_017_censuur.pdf,,,,2018-04-18,Tim Adriaens,
"Lithobates catesbeianus (Shaw, 1802)",Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,species,ICZN,Flanders,BE,present,1996,2018,established,,,eastern North America,freshwater,"Jooris 2001, 2005 | Adriaens et al. 2010 | Sharifian-Fard 2011",,,,2018-04-18,Tim Adriaens,
"Echis carinatus (Schneider, 1801)",Animalia,Chordata,Reptilia,Squamata,Viperidae,Echis,species,ICZN,Flanders,BE,present,,,transported,stowaway_container,Container with stone from India,Middle East and Central Asia,terrestrial,Jooris & Lehouck 2007. De Muurhagedis in Vlaanderen.  Natuur.Focus 6(4): 123-129,,,,2018-10-15,Tim Adriaens,
"Natrix tessellata (Laurenti, 1768)",Animalia,Chordata,Reptilia,Squamata,Natricidae,Natrix,species,ICZN,Flanders,BE,present,2007,,transported,,vicinity of railway station of Leuven,"Europe, Asia",terrestrial,Jooris & Lehouck 2007. De Muurhagedis in Vlaanderen.  Natuur.Focus 6(4): 123-129,,,,2018-10-15,Tim Adriaens,
"Natrix maura (Linnaeus, 1758)",Animalia,Chordata,Reptilia,Squamata,Natricidae,Natrix,species,ICZN,Flanders,BE,present,2015,2019,released,contaminant_timber,Eke - Schelde Eke - Schelde t.h.v. Bolveerput (OV),Europe,terrestrial,Hyla database 2015; 2019 intercepted in company importing wood products from Portugal,,,,2019-03-09,Tim Adriaens,
"Podarcis muralis (Laurenti, 1768)",Animalia,Chordata,Reptilia,Squamata,Lacertidae,Podarcis,species,ICZN,Flanders,BE,present,2004,2018,established,stowaway_other,presumably introduced as stowaway in transport of goods per train,Europe,terrestrial,Jooris & Lehouck 2007. De Muurhagedis in Vlaanderen.  Natuur.Focus 6(4): 123-129,,,,2018-04-18,Tim Adriaens,
"Trachemys scripta subsp. elegans (Wied, 1838)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Flanders,BE,present,1975,2018,casual,escape_pet | release_other,,North America,freshwater,Anonymus 2008,,,,2018-04-18,Tim Adriaens,
"Trachemys scripta subsp. troostii (Holbrook, 1836)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Flanders,BE,present,2003,2018,casual,escape_pet | release_other,,North America,freshwater,Anonymus 2008,,,,2018-04-18,Tim Adriaens,
"Graptemys pseudogeographica subsp. pseudogeographica (Gray, 1831)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,subspecies,ICZN,Flanders,BE,present,2005,2018,casual,escape_pet | release_other,,North America,freshwater,Anonymus 2008,,,,2018-04-18,Tim Adriaens,
"Pelophylax bedriagae (Camerano, 1882)",Animalia,Chordata,Amphibia,Anura,Ranidae,Pelophylax,species,ICZN,Flanders,BE,present,2000,2018,established,,,Southern Europe,freshwater,"Holsbeek et al. 2008, 2009, 2010; https://www.hylawerkgroep.be/static/files/0206/Groene%20kikkers%20in%20Vlaanderen%20en%20BHG%2015_07_2010.pdf",,,,2018-04-18,Tim Adriaens,
"Xenopus laevis (Daudin, 1802)",Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,species,ICZN,Flanders,BE,present,2008,,casual,escape_research,"campus de Drie Eiken Antwerp University, pond with 30 larvae, obs. Bart Vervust",Africa,freshwater,Hyla database,,,,2018-04-18,Tim Adriaens,
"Trachemys scripta subsp. scripta (Schoepff, 1792)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Trachemys,subspecies,ICZN,Flanders,BE,present,1997,2018,casual,escape_pet | release_other,,North America,freshwater,Anonymus 2008,,,,2018-04-18,Tim Adriaens,
"Graptemys pseudogeographica subsp. kohnii (Baur, 1890)",Animalia,Chordata,Reptilia,Testudines,Emydidae,Graptemys,subspecies,ICZN,Flanders,BE,present,2005,2018,casual,escape_pet | release_other,,North America,freshwater,Anonymus 2008,,,,2018-04-18,Tim Adriaens,
"Pachytriton labiatus (Unterstein, 1930)",Animalia,Chordata,Amphibia,Caudata,Salamandridae,Pachytriton,species,ICZN,Flanders,BE,present,2001,2007,casual,escape_pet | release_other,,Asia,freshwater,Hyla databank,,,,2018-04-18,Tim Adriaens,
"Triturus marmoratus (Latreille, 1800)",Animalia,Chordata,Amphibia,Caudata,Salamandridae,Triturus,species,ICZN,Flanders,BE,present,2018,2018,casual,release_landscape_improvement | escape_pet,,Southern Europe,freshwater,https://waarnemingen.be/waarneming/view/150305908,,,,2018-04-18,Tim Adriaens,
