scientific name,kingdom,phylum,class,order,family,genus,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
"Heliophanus kochii Simon, 1868",Animalia,Arthropoda,Arachnida,,Salticidae,Heliophanus,species,ICZN,Flanders,BE,present,2006,2006,established,,South oriented slope in abandoned shunting-yard,"Macaronesia, North Africa, Europe, Turkey, Caucasus, near East, Kazakhstan",terrestrial,"Van Keer, K., De Koninck, H., Vanuytven, H. & Van Keer, J. 2006. Some -mostly southern European- spider species (Araneae), new or rare to the Belgian fauna, found in the city of Antwerp. Nieuwsbrief van de Belgische Arachnologische Vereniging, 21(2):33-40.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Heteropoda venatoria (Linnaeus, 1767)",Animalia,Arthropoda,Arachnida,,Sparassidae,Heteropoda,species,ICZN,Flanders,BE,present,1999,2016,transported,,"Freight shipments from Asia, once from the USA and twice from the Dominican Republic",Tropical Asia,terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",occasional,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Holocnemus pluchei (Scopoli, 1763)",Animalia,Arthropoda,Arachnida,,Pholcidae,Holocnemus,species,ICZN,Flanders,BE,present,1994,2010,established,,"Mostly in warehouses and garden centers, but also once against buildings in a shopping street, against a private house, on a shed in an urban green area and several times in drains along a road side (harbour area). Twice in old timer cars, imported from California (USA)","Mediterranean, Northern Africa",terrestrial,"Van Keer, K. & Van Keer, J. 2001. Ingeburgerde exotische trilspinnen (Araneae: Pholcidae) in Antwerpse haven en enkele algemene bedenkingen bij spinnenmigratie. Nieuwsbrief van de Belgische Arachnologische Vereniging, 16(3):81-86.",frequent,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Latrodectus geometricus C.L. Koch, 1841",Animalia,Arthropoda,Arachnida,,Theridiidae,Latrodectus,species,ICZN,Flanders,BE,present,2006,2006,transported,stowaway_container,In container from South America,Africa,terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Latrodectus hesperus Chamberlin & Ivie, 1935",Animalia,Arthropoda,Arachnida,,Theridiidae,Latrodectus,species,ICZN,Flanders,BE,present,2013,2013,transported,stowaway_container,In container from Alabama (USA),North America,terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-10,Koen Van Keer,Koen Van Keer
"Latrodectus hasselti Thorell, 1870",Animalia,Arthropoda,Arachnida,,Theridiidae,Latrodectus,species,ICZN,Flanders,BE,present,1999,1999,transported,stowaway_container,One adult female (probably 1st generation import) and one juvenile (2nd generation) found months after import. In container from Australia,"India, Southeast Asia to Australia, New Zealand",terrestrial,"Janssen, M. 1999. De ""redback"" (Latrodectus hasselti) in Limburg: verslag van een mogelijke kolonisatie. Nieuwsbrief van de Belgische Arachnologische Vereniging, 14(2-3):83-85.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Arachnida,,Theridiidae,Latrodectus,species,ICZN,Flanders,BE,present,1967,2017,transported,stowaway_container,"Sometimes females that produce fertile eggs in Belgium. With different freights from the USA, once from Mexico (2011), but mostly on imported old timer cars",Probably native to North America only,terrestrial,"Benoit, P.L.G. 1968. La présence en Belgique d'araignées vénimeuses du genre Latrodectus Walck. Africa Tervuren XIV.",occasional,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Latrodectus mactans (Fabricius, 1775)",Animalia,Arthropoda,Arachnida,,Theridiidae,Latrodectus,species,ICZN,Wallonia,BE,present,1996,1996,transported,stowaway_container,In containers from the USA,Probably native to North America only,terrestrial,"Van Keer, K. 2007. Exotic spiders (Araneae): Verified reports from Belgium of imported species (1976-2006) and some notes on apparent neozoan invasive species. Nieuwsbrief van de Belgische Arachnologische Vereniging, 22(2):45-54.",occasional,,,2018-08-10,Koen Van Keer,Koen Van Keer
Leiobunum,Animalia,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Leiobunum,genus,ICZN,Flanders,BE,present,2010,,established,,,,terrestrial,"Vanherke, L. Hooiwagens in België – een overzicht. Nieuwsbr. Belg. Arachnol. Ver. (2010),25(2): 138 | Wijnhoven, H., Schönhofer, A.L. & Martens, J., 2007. An unidentified harvestman Leiobunum sp. alarmingly invading Europe (Opiliones). Arachnologische Mitteilungen, 34: 27-38.",,,,2018-05-02,Tim Adriaens,
Leiobunum,Animalia,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,Leiobunum,genus,ICZN,Wallonia,BE,present,2009,,established,,,,terrestrial,"Vanherke, L. Hooiwagens in België – een overzicht. Nieuwsbr. Belg. Arachnol. Ver. (2010),25(2): 138 | Wijnhoven, H., Schönhofer, A.L. & Martens, J., 2007. An unidentified harvestman Leiobunum sp. alarmingly invading Europe (Opiliones). Arachnologische Mitteilungen, 34: 27-38.",,,,2018-05-02,Tim Adriaens,
"Macaroeris nidicolens (Walckenaer, 1802)",Animalia,Arthropoda,Arachnida,,Salticidae,Macaroeris,species,ICZN,Flanders,BE,present,2006,2013,established,,"In urban, rural and semi-natural environments","Macaronesia, Europe, North Africa to Turkey, Caucasus, Turkmenistan, Iran",terrestrial,"Van Keer, K., De Koninck, H., Vanuytven, H. & Van Keer, J. 2006. Some -mostly southern European- spider species (Araneae), new or rare to the Belgian fauna, found in the city of Antwerp. Nieuwsbrief van de Belgische Arachnologische Vereniging, 21(2):33-40.",frequent,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Macrothele calpeiana (Walckenaer, 1805)",Animalia,Arthropoda,Arachnida,,Macrothelidae,Macrothele,species,ICZN,Flanders,BE,present,2008,2008,transported,,,"Spain, Italy, North Africa",terrestrial,"Van Keer, K. 2010. An update on the verified reports of imported spiders (Araneae) from Belgium. Nieuwsbrief Belgische Arachnologische Vereniging 25(3): 210-214.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Macrothele calpeiana (Walckenaer, 1805)",Animalia,Arthropoda,Arachnida,,Macrothelidae,Macrothele,species,ICZN,Wallonia,BE,present,2014,2014,transported,,,"Spain, Italy, North Africa",terrestrial,ARABEL exotendatabank (2018-08-10),rare,,,2018-08-10,Koen Van Keer,Koen Van Keer
Mermessus denticulatus (Banks 1898),Animalia,Arthropoda,Arachnida,,Linyphiidae,Mermessus,species,ICZN,Flanders,BE,present,1997,1997,casual,,On Azalea (from Spain) bought in plant shop,"Canada to Peru, Caribbean",terrestrial,"Bosmans, R. & Vanuytven, H. 1998. Eperigone eschatologica een Amerikaanse immigrant in West-Europa (Araneae, Erigonidae). Nieuwsbrief van de Belgische Arachnologische Vereniging, 13(1):15-16.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
"Micropholcus fauroti (Simon, 1887)",Animalia,Arthropoda,Arachnida,,Pholcidae,Micropholcus,species,ICZN,Flanders,BE,present,2001,2004,established,stowaway_container,Two specimens in drains along roadside and once on a warehouse in the Antwerp harbour area. Twice in container from the USA,Temperate Asia,terrestrial,"Van Keer, K. & Van Keer, J. 2001. Ingeburgerde exotische trilspinnen (Araneae: Pholcidae) in Antwerpse haven en enkele algemene bedenkingen bij spinnenmigratie. Nieuwsbrief van de Belgische Arachnologische Vereniging, 16(3):81-86.",rare,,,2018-05-03,Tim Adriaens,Koen Van Keer
